% X,%Y
0.15,3.80E-01
0.23675,0.356755408
0.300255408,0.29325
0.3235,0.2065
0.300255408,0.11975
2.37E-01,0.056244592
1.50E-01,0.033
0.06325,0.056244592
-2.55E-04,0.11975
-0.0235,0.2065
-2.55E-04,2.93E-01
0.06325,0.356755408
