% Model,2_test.mph
% Version,COMSOL 6.0.0.405
% Date,"Apr 17 2023, 21:17"
% Dimension,2
% Nodes,12
% Expressions,1
% Description,"Electric field, z component"
% Length unit,m
% X,Y,emw.Ez (V/m) @ freq=1
-0.13,7.960204194E-18,-1592.5736242558673-3943.228757348551i
-0.1125833025,-0.065,51.26150482503902+187.0474378105213i
-0.1125833025,0.065,51.26414223933611+187.05040966357578i
-0.065,-0.1125833025,39.19281015973024-39.086873197866794i
-0.065,0.1125833025,39.19362661589227-39.08644945453247i
-1.592040839E-17,-0.13,-2.3936328427666256-20.86230468862071i
3.184081678E-17,0.13,-2.3934512635650136-20.86298879185351i
0.065,-0.1125833025,6.293581704465066-8.135545234022786i
0.065,0.1125833025,6.296107698686565-8.135874654512097i
0.1125833025,-0.065,-2.1948977469582327+6.258232213695232i
0.1125833025,0.065,-2.197810921409268+6.258083984966981i
0.13,-2.388061258E-17,4.268183783657292+3.800762389742247i
