% Model,2_0.9GHz.mph
% Version,COMSOL 6.0.0.405
% Date,"May 9 2023, 21:31"
% Dimension,2
% Nodes,12
% Expressions,1
% Description,"Electric field, z component"
% Length unit,m
% X,Y,emw.Ez (V/m) @ freq=0.9
-0.13,7.960204194E-18,-1394.481104368945-3623.05233583164i
-0.1125833025,-0.065,-107.63048352202661+148.945076036814i
-0.1125833025,0.065,-107.63163215690335+148.9477292939661i
-0.065,-0.1125833025,31.208607660354545+42.22210160711336i
-0.065,0.1125833025,31.20790793936915+42.22254922761453i
-1.592040839E-17,-0.13,14.696659564226863+13.472869298659852i
3.184081678E-17,0.13,14.69685959158968+13.473366955000811i
0.065,-0.1125833025,-4.576360601980023+8.6402732417906i
0.065,0.1125833025,-4.577807015241244+8.640678641035702i
0.1125833025,-0.065,3.0628184341510685-5.511503294780428i
0.1125833025,0.065,3.0644681732099315-5.511239936642378i
0.13,-2.388061258E-17,-2.874478628273154-4.613283186201236i
