% Model,15_0.9GHz_bleed.mph
% Version,COMSOL 6.0.0.405
% Date,"Jun 25 2023, 22:01"
% Dimension,2
% Nodes,12
% Expressions,1
% Description,"Electric field, z component"
% Length unit,m
% X,Y,emw.Ez (V/m) @ freq=0.9
-0.13,7.960204194E-18,2.810091373052962-3.614348890656903i
-0.1125833025,-0.065,-0.2888111949290258+2.1955468167843906i
-0.1125833025,0.065,-6.162181814705555+7.2586707217974205i
-0.065,-0.1125833025,-3.053128274284095+1.1629131766426464i
-0.065,0.1125833025,15.657678498561356+13.308783943589576i
-1.592040839E-17,-0.13,-3.7667379891253296+5.517770350045243i
3.184081678E-17,0.13,30.124383705303774+42.41681780044735i
0.065,-0.1125833025,11.846831578074953+16.327611938219075i
0.065,0.1125833025,-107.43545498778474+148.61900870866742i
0.1125833025,-0.065,33.309421666953604+41.54955832708718i
0.1125833025,0.065,-1399.9124133073487-3622.1853913930645i
0.13,-2.388061258E-17,-107.30447956339556+149.56619253665443i
