% Model,2_0.9GHz_blood.mph
% Version,COMSOL 6.0.0.405
% Date,"May 30 2023, 22:35"
% Dimension,2
% Nodes,12
% Expressions,1
% Description,"Electric field, z component"
% Length unit,m
% X,Y,emw.Ez (V/m) @ freq=0.9
-0.13,7.960204194E-18,-2789.6442842754113-7245.341367113694i
-0.1125833025,-0.065,-215.0225375945026+298.59126199706554i
-0.1125833025,0.065,-215.36773388993603+298.19147262156866i
-0.065,-0.1125833025,62.45565469237514+82.90783906598399i
-0.065,0.1125833025,62.646435396500564+84.62496935319722i
-1.592040839E-17,-0.13,32.28814101789025+28.898541905016152i
3.184081678E-17,0.13,29.641561283406272+27.14059795410578i
0.065,-0.1125833025,-2.2349409892768746+9.173923836086432i
0.065,0.1125833025,-9.190431239475496+17.70230501902566i
0.1125833025,-0.065,-3.6672819013905182-4.776237281743513i
0.1125833025,0.065,5.330199089761188-11.546876281441051i
0.13,-2.388061258E-17,-3.786570563909098-9.161065374291416i
