% Model,15_0.9GHz.mph
% Version,COMSOL 6.0.0.405
% Date,"Jun 25 2023, 18:29"
% Dimension,2
% Nodes,12
% Expressions,1
% Description,"Electric field, z component"
% Length unit,m
% X,Y,emw.Ez (V/m) @ freq=0.9
-0.13,7.960204194E-18,-2.874478628273-4.6132831862013255i
-0.1125833025,-0.065,3.063731814906613-5.5109816274189045i
-0.1125833025,0.065,3.0644020625435906-5.511340159336237i
-0.065,-0.1125833025,-4.576264297032277+8.641066937769505i
-0.065,0.1125833025,-4.577504315304425+8.640679620011293i
-1.592040839E-17,-0.13,14.696897934496212+13.471957287527351i
3.184081678E-17,0.13,14.696402532579626+13.473127074120876i
0.065,-0.1125833025,31.208471875008062+42.22057099482248i
0.065,0.1125833025,31.20960072122285+42.219779202291505i
0.1125833025,-0.065,-107.62308160835471+148.94339939787568i
0.1125833025,0.065,-107.6204960854642+148.94570364225316i
0.13,-2.388061258E-17,-1398.1506196678356-3624.899271272163i
